the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,4/8/2020,1051,negative,1/30/2021 18:20
,,8/21/2020,85,positive,1/30/2021 18:20
,,12/8/2020,1159,positive,1/30/2021 18:20
,,1/2/2021,435,positive,1/30/2021 18:20
,,6/26/2020,1922,negative,1/30/2021 18:20
,,5/23/2020,1574,negative,1/30/2021 18:20
,,10/11/2020,99,positive,1/30/2021 18:20
,,6/13/2020,2072,negative,1/30/2021 18:20
,,1/28/2021,1992,negative,1/30/2021 18:20
,,7/1/2020,2535,negative,1/30/2021 18:20
,,3/17/2020,323,negative,1/30/2021 18:20
,,7/10/2020,125,positive,1/30/2021 18:20
,,3/31/2020,477,positive,1/30/2021 18:20
,,7/28/2020,3346,negative,1/30/2021 18:20
,,12/17/2020,6786,negative,1/30/2021 18:20
,,11/20/2020,1059,positive,1/30/2021 18:20
,,7/19/2020,69,positive,1/30/2021 18:20
,,3/8/2020,9,negative,1/30/2021 18:20
,,1/25/2021,7356,negative,1/30/2021 18:20
,,10/14/2020,5572,negative,1/30/2021 18:20
,,10/25/2020,212,positive,1/30/2021 18:20
,,6/23/2020,2566,negative,1/30/2021 18:20
,,1/6/2021,715,positive,1/30/2021 18:20
,,11/25/2020,8993,negative,1/30/2021 18:20
,,8/18/2020,128,positive,1/30/2021 18:20
,,4/11/2020,632,negative,1/30/2021 18:20
,,12/28/2020,4675,negative,1/30/2021 18:20
,,4/22/2020,1129,negative,1/30/2021 18:20
,,9/8/2020,95,positive,1/30/2021 18:20
,,10/30/2020,530,positive,1/30/2021 18:20
,,6/1/2020,108,positive,1/30/2021 18:20
,,10/2/2020,4705,negative,1/30/2021 18:20
,,10/7/2020,5275,negative,1/30/2021 18:20
,,5/27/2020,221,positive,1/30/2021 18:20
,,10/14/2020,311,positive,1/30/2021 18:20
,,9/23/2020,122,positive,1/30/2021 18:20
,,5/9/2020,1122,negative,1/30/2021 18:20
,,1/13/2021,8195,negative,1/30/2021 18:20
